palabra,Coldplay,Linkin Park,Eminem,The White Stripes,The Strokes,Arctic Monkeys,Muse,System of a Down,OutKast,The Killers,Beyoncé,Justin Timberlake,50 Cent,Kanye West,Amy Winehouse,total
god,25.0,27.0,274.0,8.0,7.0,3.0,29.0,21.0,54.0,36.0,127.0,24.0,224.0,445.0,1.0,1305.0
big,7.0,22.0,290.0,25.0,7.0,10.0,7.0,12.0,205.0,27.0,134.0,24.0,333.0,176.0,24.0,1303.0
well,35.0,30.0,301.0,167.0,41.0,92.0,31.0,23.0,74.0,69.0,82.0,76.0,108.0,148.0,21.0,1298.0
really,33.0,41.0,328.0,37.0,17.0,20.0,18.0,19.0,47.0,15.0,135.0,83.0,241.0,234.0,19.0,1287.0
mind,43.0,85.0,234.0,36.0,24.0,49.0,32.0,65.0,47.0,73.0,196.0,114.0,134.0,128.0,23.0,1283.0
everything,48.0,159.0,221.0,16.0,9.0,7.0,32.0,16.0,34.0,34.0,227.0,117.0,98.0,214.0,21.0,1253.0
heart,83.0,71.0,209.0,19.0,18.0,27.0,41.0,6.0,20.0,78.0,196.0,149.0,181.0,118.0,34.0,1250.0
real,6.0,90.0,271.0,3.0,2.0,2.0,12.0,13.0,45.0,18.0,136.0,99.0,260.0,272.0,8.0,1237.0
leave,20.0,45.0,347.0,18.0,25.0,29.0,17.0,13.0,33.0,17.0,137.0,85.0,271.0,166.0,11.0,1234.0
much,52.0,76.0,342.0,27.0,17.0,30.0,42.0,7.0,33.0,25.0,143.0,60.0,152.0,197.0,28.0,1231.0
hold,26.0,70.0,239.0,17.0,10.0,37.0,26.0,6.0,50.0,80.0,180.0,155.0,179.0,136.0,11.0,1222.0
fuckin,0.0,14.0,673.0,1.0,0.0,0.0,0.0,6.0,29.0,0.0,10.0,12.0,355.0,119.0,0.0,1219.0
thing,23.0,61.0,251.0,8.0,12.0,39.0,7.0,9.0,30.0,28.0,158.0,206.0,180.0,175.0,32.0,1219.0
something,151.0,98.0,219.0,19.0,28.0,38.0,19.0,12.0,27.0,36.0,114.0,162.0,129.0,155.0,4.0,1211.0
home,69.0,55.0,246.0,89.0,14.0,39.0,13.0,19.0,48.0,54.0,170.0,79.0,122.0,173.0,19.0,1209.0
hear,44.0,59.0,304.0,44.0,16.0,20.0,26.0,13.0,37.0,34.0,129.0,106.0,229.0,126.0,22.0,1209.0
show,20.0,46.0,275.0,10.0,22.0,18.0,30.0,30.0,27.0,20.0,125.0,156.0,263.0,158.0,7.0,1207.0
always,64.0,66.0,287.0,21.0,40.0,17.0,20.0,29.0,43.0,36.0,167.0,73.0,140.0,154.0,44.0,1201.0
high,83.0,115.0,217.0,8.0,7.0,21.0,12.0,31.0,48.0,13.0,106.0,50.0,270.0,188.0,10.0,1179.0
long,53.0,68.0,246.0,14.0,41.0,28.0,26.0,14.0,33.0,45.0,146.0,103.0,169.0,161.0,32.0,1179.0
things,56.0,132.0,188.0,23.0,29.0,39.0,22.0,11.0,41.0,28.0,133.0,150.0,140.0,173.0,13.0,1178.0
made,24.0,79.0,276.0,32.0,11.0,25.0,12.0,14.0,47.0,31.0,80.0,72.0,210.0,251.0,13.0,1177.0
verse,0.0,6.0,300.0,1.0,1.0,2.0,0.0,1.0,78.0,0.0,33.0,21.0,627.0,103.0,1.0,1174.0
turn,67.0,78.0,250.0,10.0,20.0,17.0,27.0,13.0,23.0,25.0,186.0,112.0,190.0,148.0,8.0,1174.0
gone,43.0,106.0,226.0,16.0,29.0,22.0,26.0,24.0,28.0,37.0,61.0,199.0,186.0,146.0,14.0,1163.0
eyes,69.0,116.0,167.0,19.0,25.0,61.0,30.0,55.0,21.0,90.0,147.0,95.0,129.0,100.0,25.0,1149.0
people,59.0,69.0,345.0,14.0,16.0,13.0,46.0,63.0,28.0,23.0,88.0,72.0,88.0,196.0,2.0,1122.0
yall,9.0,40.0,329.0,0.0,0.0,0.0,0.0,0.0,101.0,0.0,96.0,45.0,231.0,266.0,2.0,1119.0
nothing,50.0,114.0,212.0,13.0,17.0,24.0,35.0,32.0,18.0,41.0,113.0,99.0,166.0,152.0,29.0,1115.0
talk,34.0,32.0,198.0,5.0,13.0,11.0,0.0,3.0,27.0,15.0,87.0,101.0,350.0,198.0,26.0,1100.0
