palabra,U2,Michael Jackson,Madonna,Guns N' Roses,Metallica,The Police,Bon Jovi,Duran Duran,The Cure,Prince,Whitney Houston,Depeche Mode,Talking Heads,Tears for Fears,New Order,total
alone,57.0,196.0,189.0,65.0,25.0,30.0,100.0,47.0,71.0,195.0,58.0,17.0,5.0,19.0,39.0,1113.0
things,63.0,131.0,198.0,34.0,40.0,10.0,105.0,45.0,54.0,171.0,72.0,53.0,51.0,44.0,40.0,1111.0
body,27.0,77.0,439.0,11.0,21.0,5.0,8.0,26.0,21.0,381.0,5.0,32.0,6.0,4.0,1.0,1064.0
try,46.0,90.0,213.0,53.0,37.0,22.0,105.0,65.0,66.0,216.0,38.0,36.0,25.0,9.0,30.0,1051.0
name,91.0,78.0,269.0,21.0,52.0,10.0,98.0,33.0,35.0,283.0,25.0,25.0,12.0,8.0,11.0,1051.0
everything,66.0,75.0,320.0,26.0,7.0,9.0,87.0,24.0,102.0,202.0,27.0,48.0,17.0,14.0,20.0,1044.0
please,69.0,61.0,347.0,68.0,59.0,21.0,53.0,37.0,63.0,173.0,32.0,14.0,3.0,5.0,13.0,1018.0
soul,115.0,88.0,205.0,19.0,55.0,32.0,58.0,43.0,17.0,241.0,24.0,68.0,1.0,25.0,23.0,1014.0
waiting,50.0,40.0,560.0,8.0,25.0,5.0,45.0,58.0,38.0,68.0,19.0,34.0,22.0,7.0,26.0,1005.0
die,30.0,49.0,295.0,37.0,100.0,12.0,147.0,20.0,44.0,209.0,8.0,23.0,2.0,11.0,14.0,1001.0
together,31.0,81.0,572.0,13.0,10.0,4.0,52.0,46.0,22.0,53.0,34.0,23.0,16.0,2.0,21.0,980.0
run,92.0,50.0,168.0,9.0,60.0,26.0,170.0,101.0,60.0,104.0,39.0,14.0,52.0,17.0,14.0,976.0
hard,69.0,48.0,222.0,47.0,40.0,18.0,174.0,19.0,50.0,185.0,20.0,28.0,13.0,12.0,25.0,970.0
cry,55.0,130.0,250.0,54.0,40.0,22.0,74.0,29.0,50.0,148.0,55.0,8.0,13.0,18.0,15.0,961.0
free,93.0,76.0,228.0,39.0,79.0,32.0,52.0,21.0,15.0,203.0,34.0,36.0,6.0,23.0,21.0,958.0
play,29.0,21.0,238.0,46.0,15.0,19.0,78.0,28.0,43.0,357.0,14.0,39.0,9.0,17.0,4.0,957.0
stay,67.0,103.0,224.0,25.0,43.0,20.0,94.0,79.0,46.0,93.0,59.0,19.0,22.0,26.0,28.0,948.0
true,29.0,107.0,328.0,32.0,28.0,7.0,75.0,10.0,47.0,166.0,29.0,25.0,11.0,1.0,40.0,935.0
face,69.0,80.0,127.0,26.0,65.0,19.0,83.0,60.0,73.0,201.0,38.0,22.0,30.0,15.0,19.0,927.0
last,68.0,34.0,227.0,48.0,23.0,9.0,151.0,52.0,48.0,143.0,23.0,26.0,14.0,20.0,35.0,921.0
head,88.0,65.0,159.0,44.0,51.0,17.0,82.0,47.0,79.0,165.0,15.0,31.0,28.0,16.0,25.0,912.0
fall,75.0,79.0,234.0,14.0,65.0,30.0,119.0,25.0,68.0,87.0,20.0,34.0,28.0,9.0,12.0,899.0
heard,54.0,28.0,544.0,17.0,11.0,5.0,34.0,15.0,12.0,82.0,12.0,30.0,16.0,3.0,34.0,897.0
boy,72.0,72.0,301.0,19.0,29.0,13.0,68.0,42.0,17.0,157.0,61.0,16.0,13.0,6.0,9.0,895.0
dream,54.0,46.0,323.0,6.0,21.0,14.0,101.0,33.0,91.0,115.0,16.0,23.0,20.0,27.0,5.0,895.0
show,33.0,88.0,330.0,22.0,25.0,10.0,28.0,29.0,34.0,193.0,28.0,20.0,6.0,9.0,34.0,889.0
bad,19.0,341.0,140.0,32.0,23.0,5.0,88.0,36.0,10.0,125.0,26.0,5.0,17.0,17.0,3.0,887.0
place,72.0,123.0,171.0,21.0,49.0,16.0,81.0,35.0,8.0,166.0,46.0,22.0,26.0,15.0,33.0,884.0
break,62.0,89.0,273.0,22.0,40.0,16.0,82.0,31.0,25.0,127.0,43.0,11.0,10.0,39.0,13.0,883.0
wild,69.0,14.0,429.0,8.0,7.0,2.0,84.0,70.0,6.0,95.0,0.0,3.0,76.0,2.0,13.0,878.0
enough,78.0,113.0,210.0,17.0,6.0,20.0,105.0,34.0,33.0,106.0,66.0,42.0,11.0,9.0,25.0,875.0
going,86.0,64.0,153.0,29.0,26.0,4.0,106.0,90.0,45.0,120.0,29.0,41.0,22.0,28.0,26.0,869.0
made,62.0,50.0,222.0,27.0,28.0,8.0,104.0,30.0,58.0,152.0,52.0,12.0,22.0,21.0,12.0,860.0
god,67.0,51.0,166.0,20.0,28.0,12.0,93.0,9.0,20.0,292.0,37.0,17.0,6.0,21.0,20.0,859.0
someone,71.0,102.0,198.0,23.0,28.0,23.0,77.0,28.0,23.0,85.0,79.0,40.0,21.0,24.0,33.0,855.0
sun,92.0,67.0,164.0,35.0,45.0,29.0,74.0,57.0,49.0,115.0,14.0,17.0,6.0,16.0,74.0,854.0
hands,55.0,34.0,245.0,12.0,26.0,6.0,98.0,30.0,48.0,112.0,82.0,34.0,19.0,25.0,22.0,848.0
living,30.0,60.0,340.0,17.0,46.0,13.0,124.0,30.0,13.0,92.0,25.0,10.0,28.0,5.0,6.0,839.0
chorus,2.0,66.0,55.0,7.0,4.0,0.0,31.0,101.0,1.0,485.0,61.0,9.0,8.0,0.0,4.0,834.0
leave,59.0,117.0,96.0,40.0,32.0,13.0,92.0,46.0,52.0,156.0,38.0,31.0,9.0,13.0,30.0,824.0
hand,59.0,145.0,119.0,13.0,42.0,7.0,106.0,27.0,41.0,172.0,17.0,21.0,18.0,14.0,21.0,822.0
yes,35.0,65.0,82.0,21.0,29.0,2.0,31.0,19.0,15.0,339.0,135.0,5.0,3.0,3.0,32.0,816.0
stand,74.0,100.0,167.0,12.0,41.0,51.0,107.0,24.0,9.0,144.0,29.0,17.0,11.0,13.0,16.0,815.0
alright,66.0,89.0,95.0,21.0,4.0,20.0,142.0,13.0,4.0,249.0,45.0,11.0,26.0,1.0,22.0,808.0
fire,81.0,56.0,131.0,12.0,123.0,4.0,140.0,55.0,54.0,66.0,12.0,21.0,19.0,22.0,8.0,804.0
mine,26.0,206.0,138.0,61.0,26.0,4.0,61.0,45.0,14.0,152.0,19.0,17.0,9.0,5.0,20.0,803.0
left,64.0,53.0,163.0,25.0,39.0,12.0,150.0,34.0,56.0,113.0,29.0,26.0,8.0,7.0,22.0,801.0
change,43.0,143.0,186.0,19.0,22.0,8.0,59.0,35.0,58.0,76.0,25.0,32.0,16.0,31.0,44.0,797.0
end,40.0,41.0,110.0,35.0,113.0,47.0,101.0,25.0,72.0,106.0,24.0,23.0,4.0,20.0,36.0,797.0
uh,4.0,77.0,346.0,1.0,0.0,1.0,19.0,2.0,1.0,325.0,19.0,0.0,0.0,0.0,0.0,795.0
rock,51.0,94.0,57.0,92.0,14.0,3.0,36.0,38.0,0.0,355.0,18.0,1.0,9.0,1.0,15.0,784.0
x,8.0,8.0,44.0,0.0,1.0,4.0,22.0,13.0,2.0,652.0,12.0,0.0,6.0,0.0,8.0,780.0
comes,76.0,33.0,141.0,8.0,59.0,18.0,107.0,46.0,20.0,186.0,19.0,17.0,9.0,11.0,20.0,770.0
walk,187.0,54.0,59.0,11.0,24.0,23.0,110.0,21.0,26.0,157.0,30.0,17.0,19.0,9.0,16.0,763.0
care,17.0,78.0,138.0,41.0,26.0,11.0,30.0,18.0,53.0,218.0,38.0,24.0,7.0,19.0,40.0,758.0
wrong,37.0,68.0,102.0,23.0,26.0,7.0,82.0,22.0,39.0,152.0,30.0,79.0,11.0,26.0,48.0,752.0
lost,79.0,43.0,202.0,26.0,37.0,5.0,73.0,37.0,34.0,67.0,18.0,27.0,12.0,30.0,56.0,746.0
rain,81.0,46.0,167.0,26.0,9.0,35.0,82.0,26.0,31.0,169.0,19.0,9.0,16.0,17.0,10.0,743.0
makes,41.0,65.0,287.0,15.0,12.0,8.0,51.0,19.0,41.0,106.0,32.0,21.0,5.0,11.0,21.0,735.0
sing,103.0,69.0,164.0,9.0,3.0,4.0,51.0,12.0,36.0,183.0,71.0,10.0,9.0,5.0,3.0,732.0
round,30.0,32.0,246.0,8.0,34.0,11.0,67.0,22.0,57.0,164.0,18.0,1.0,8.0,16.0,15.0,729.0
without,52.0,83.0,83.0,15.0,32.0,21.0,94.0,18.0,34.0,165.0,32.0,16.0,10.0,26.0,46.0,727.0
goes,27.0,17.0,394.0,19.0,13.0,16.0,30.0,23.0,23.0,90.0,3.0,18.0,34.0,2.0,18.0,727.0
kiss,50.0,36.0,167.0,5.0,25.0,4.0,86.0,21.0,66.0,188.0,19.0,31.0,7.0,3.0,18.0,726.0
wait,55.0,48.0,258.0,8.0,32.0,11.0,38.0,16.0,33.0,173.0,9.0,10.0,13.0,5.0,12.0,721.0
somebody,54.0,77.0,101.0,28.0,1.0,15.0,35.0,18.0,11.0,250.0,103.0,7.0,17.0,2.0,2.0,721.0
thought,41.0,127.0,108.0,55.0,46.0,10.0,47.0,23.0,45.0,93.0,58.0,10.0,9.0,8.0,41.0,721.0
song,142.0,38.0,116.0,15.0,11.0,5.0,98.0,11.0,24.0,175.0,50.0,8.0,7.0,13.0,8.0,721.0
party,23.0,10.0,313.0,5.0,1.0,3.0,15.0,10.0,8.0,300.0,2.0,7.0,15.0,0.0,1.0,713.0
nobody,23.0,78.0,257.0,25.0,11.0,13.0,78.0,23.0,10.0,137.0,34.0,6.0,5.0,1.0,6.0,707.0
even,41.0,78.0,115.0,32.0,21.0,15.0,58.0,28.0,29.0,160.0,44.0,28.0,15.0,7.0,29.0,700.0
move,22.0,43.0,260.0,40.0,23.0,10.0,31.0,43.0,28.0,85.0,12.0,47.0,29.0,8.0,7.0,688.0
talk,55.0,36.0,147.0,16.0,10.0,10.0,101.0,10.0,21.0,205.0,9.0,9.0,29.0,17.0,9.0,684.0
