palabra,Queen,Black Sabbath,Fleetwood Mac,Bee Gees,AC/DC,Eagles,The Clash,ABBA,Ramones,Sex Pistols,The Jackson 5,The Carpenters,The Village People,The Stylistics,total
find,95.0,52.0,57.0,181.0,29.0,43.0,15.0,41.0,25.0,13.0,100.0,76.0,15.0,25.0,767.0
think,58.0,78.0,80.0,133.0,18.0,26.0,34.0,94.0,55.0,24.0,93.0,45.0,4.0,14.0,756.0
live,128.0,74.0,52.0,203.0,41.0,27.0,23.0,50.0,67.0,2.0,32.0,31.0,4.0,15.0,749.0
mind,48.0,92.0,97.0,149.0,46.0,33.0,18.0,34.0,53.0,4.0,98.0,28.0,14.0,31.0,745.0
still,74.0,56.0,65.0,196.0,31.0,41.0,8.0,78.0,29.0,18.0,61.0,46.0,2.0,35.0,740.0
would,39.0,26.0,125.0,175.0,13.0,31.0,25.0,75.0,37.0,7.0,79.0,55.0,4.0,46.0,737.0
keep,85.0,31.0,93.0,153.0,57.0,32.0,16.0,39.0,20.0,9.0,114.0,44.0,1.0,31.0,725.0
ever,37.0,63.0,82.0,182.0,16.0,18.0,22.0,29.0,70.0,15.0,79.0,56.0,5.0,37.0,711.0
hey,170.0,3.0,14.0,39.0,109.0,2.0,28.0,45.0,122.0,19.0,91.0,7.0,36.0,21.0,706.0
gone,56.0,36.0,86.0,214.0,26.0,52.0,9.0,45.0,16.0,10.0,60.0,55.0,1.0,6.0,672.0
alone,46.0,53.0,79.0,192.0,13.0,18.0,25.0,32.0,30.0,46.0,59.0,39.0,5.0,14.0,651.0
home,55.0,22.0,103.0,134.0,28.0,31.0,48.0,20.0,46.0,9.0,80.0,53.0,4.0,11.0,644.0
ooh,173.0,18.0,90.0,77.0,21.0,21.0,3.0,28.0,14.0,2.0,172.0,4.0,0.0,18.0,641.0
believe,60.0,63.0,98.0,194.0,12.0,22.0,9.0,37.0,26.0,5.0,34.0,54.0,3.0,15.0,632.0
la,71.0,16.0,146.0,56.0,16.0,0.0,1.0,94.0,0.0,46.0,57.0,41.0,2.0,82.0,628.0
ta,88.0,61.0,18.0,103.0,55.0,13.0,34.0,37.0,48.0,21.0,90.0,31.0,22.0,3.0,624.0
always,55.0,33.0,63.0,95.0,22.0,22.0,11.0,51.0,62.0,9.0,82.0,59.0,22.0,37.0,623.0
people,85.0,66.0,30.0,125.0,9.0,25.0,40.0,46.0,25.0,17.0,53.0,29.0,44.0,24.0,618.0
new,53.0,17.0,20.0,68.0,56.0,67.0,40.0,62.0,32.0,15.0,63.0,44.0,43.0,23.0,603.0
us,69.0,22.0,28.0,151.0,19.0,29.0,30.0,56.0,20.0,38.0,43.0,64.0,3.0,19.0,591.0
stop,45.0,16.0,42.0,87.0,40.0,9.0,31.0,28.0,20.0,46.0,147.0,31.0,23.0,17.0,582.0
leave,95.0,50.0,104.0,121.0,26.0,12.0,12.0,26.0,25.0,4.0,36.0,42.0,5.0,18.0,576.0
try,57.0,32.0,49.0,154.0,29.0,42.0,10.0,36.0,26.0,11.0,52.0,25.0,7.0,37.0,567.0
yes,78.0,30.0,118.0,80.0,46.0,11.0,20.0,62.0,22.0,0.0,58.0,15.0,13.0,8.0,561.0
things,36.0,51.0,69.0,107.0,22.0,25.0,23.0,38.0,45.0,7.0,52.0,47.0,5.0,32.0,559.0
hear,73.0,46.0,41.0,77.0,40.0,23.0,44.0,62.0,16.0,14.0,26.0,71.0,4.0,21.0,558.0
really,56.0,36.0,58.0,79.0,22.0,11.0,35.0,39.0,57.0,15.0,50.0,71.0,8.0,17.0,554.0
someone,11.0,37.0,49.0,221.0,10.0,19.0,14.0,18.0,15.0,19.0,52.0,44.0,14.0,13.0,536.0
another,70.0,58.0,44.0,138.0,49.0,31.0,24.0,29.0,17.0,10.0,31.0,25.0,0.0,8.0,534.0
cry,28.0,52.0,47.0,195.0,14.0,16.0,14.0,30.0,15.0,5.0,65.0,34.0,1.0,11.0,527.0
tonight,53.0,7.0,50.0,91.0,60.0,37.0,28.0,27.0,79.0,14.0,22.0,45.0,4.0,2.0,519.0
nothing,36.0,43.0,55.0,114.0,43.0,10.0,14.0,49.0,57.0,15.0,28.0,31.0,3.0,20.0,518.0
play,62.0,30.0,16.0,123.0,84.0,11.0,23.0,40.0,9.0,19.0,48.0,30.0,10.0,7.0,512.0
ah,52.0,5.0,80.0,209.0,33.0,7.0,5.0,15.0,35.0,17.0,23.0,26.0,1.0,3.0,511.0
much,46.0,20.0,49.0,146.0,52.0,16.0,11.0,24.0,21.0,13.0,40.0,38.0,16.0,12.0,504.0
woman,13.0,49.0,158.0,125.0,75.0,32.0,4.0,24.0,0.0,0.0,7.0,7.0,3.0,5.0,502.0
lonely,27.0,32.0,57.0,197.0,9.0,20.0,9.0,18.0,7.0,25.0,47.0,18.0,11.0,23.0,500.0
bad,34.0,14.0,48.0,100.0,58.0,11.0,15.0,21.0,54.0,9.0,106.0,11.0,4.0,15.0,500.0
better,50.0,22.0,53.0,96.0,32.0,21.0,36.0,49.0,34.0,15.0,47.0,27.0,1.0,14.0,497.0
stay,29.0,18.0,55.0,160.0,5.0,18.0,23.0,24.0,22.0,1.0,64.0,24.0,15.0,33.0,491.0
show,31.0,22.0,26.0,136.0,76.0,13.0,5.0,31.0,14.0,13.0,85.0,16.0,10.0,13.0,491.0
hold,35.0,30.0,64.0,149.0,65.0,15.0,9.0,17.0,10.0,6.0,47.0,27.0,1.0,10.0,485.0
going,45.0,68.0,51.0,73.0,45.0,30.0,17.0,23.0,25.0,18.0,19.0,27.0,5.0,37.0,483.0
light,50.0,56.0,59.0,144.0,30.0,22.0,13.0,24.0,11.0,10.0,26.0,31.0,1.0,4.0,481.0
made,54.0,23.0,24.0,127.0,73.0,12.0,11.0,16.0,9.0,13.0,54.0,32.0,3.0,27.0,478.0
turn,28.0,81.0,36.0,134.0,44.0,22.0,16.0,15.0,21.0,2.0,37.0,28.0,3.0,6.0,473.0
something,24.0,40.0,43.0,95.0,11.0,45.0,20.0,35.0,69.0,7.0,32.0,26.0,6.0,13.0,466.0
mine,11.0,16.0,52.0,191.0,26.0,10.0,6.0,8.0,32.0,3.0,54.0,32.0,9.0,13.0,463.0
dream,36.0,41.0,56.0,143.0,19.0,16.0,4.0,53.0,9.0,2.0,32.0,32.0,2.0,12.0,457.0
please,42.0,31.0,83.0,66.0,26.0,7.0,16.0,35.0,21.0,3.0,70.0,33.0,8.0,14.0,455.0
hand,53.0,52.0,63.0,80.0,33.0,13.0,7.0,30.0,11.0,10.0,35.0,13.0,30.0,16.0,446.0
face,51.0,30.0,37.0,131.0,30.0,11.0,26.0,28.0,22.0,5.0,30.0,29.0,4.0,9.0,443.0
true,35.0,21.0,25.0,120.0,10.0,21.0,8.0,37.0,29.0,6.0,61.0,37.0,3.0,29.0,442.0
together,25.0,8.0,38.0,126.0,2.0,5.0,1.0,44.0,10.0,2.0,83.0,45.0,20.0,31.0,440.0
inside,57.0,53.0,28.0,177.0,9.0,11.0,5.0,7.0,18.0,3.0,38.0,14.0,2.0,9.0,431.0
thing,46.0,12.0,50.0,60.0,17.0,12.0,14.0,24.0,20.0,11.0,127.0,22.0,8.0,7.0,430.0
somebody,57.0,20.0,54.0,112.0,5.0,52.0,13.0,18.0,52.0,8.0,16.0,14.0,1.0,7.0,429.0
place,35.0,41.0,40.0,67.0,23.0,21.0,25.0,30.0,51.0,2.0,38.0,38.0,12.0,4.0,427.0
sweet,29.0,11.0,84.0,64.0,36.0,24.0,3.0,41.0,23.0,2.0,34.0,48.0,11.0,17.0,427.0
soul,48.0,92.0,24.0,98.0,23.0,16.0,10.0,30.0,20.0,14.0,33.0,6.0,2.0,5.0,421.0
hard,41.0,31.0,61.0,60.0,60.0,17.0,6.0,26.0,19.0,4.0,38.0,45.0,3.0,8.0,419.0
die,41.0,90.0,10.0,138.0,23.0,10.0,18.0,14.0,51.0,7.0,5.0,4.0,2.0,3.0,416.0
roll,22.0,23.0,14.0,0.0,229.0,1.0,13.0,32.0,57.0,3.0,6.0,2.0,5.0,4.0,411.0
must,47.0,28.0,37.0,116.0,6.0,15.0,25.0,48.0,8.0,0.0,23.0,37.0,8.0,11.0,409.0
everything,28.0,17.0,61.0,49.0,22.0,17.0,7.0,45.0,62.0,9.0,29.0,13.0,8.0,41.0,408.0
put,62.0,10.0,20.0,68.0,42.0,18.0,19.0,9.0,57.0,13.0,34.0,23.0,8.0,24.0,407.0
old,41.0,13.0,41.0,43.0,19.0,28.0,36.0,38.0,26.0,9.0,45.0,59.0,4.0,5.0,407.0
sun,22.0,46.0,45.0,105.0,10.0,25.0,22.0,31.0,17.0,6.0,23.0,22.0,23.0,8.0,405.0
living,37.0,51.0,17.0,178.0,22.0,10.0,10.0,20.0,13.0,14.0,15.0,8.0,1.0,8.0,404.0
honey,40.0,2.0,80.0,16.0,48.0,6.0,2.0,74.0,11.0,7.0,99.0,3.0,12.0,3.0,403.0
fire,36.0,37.0,25.0,83.0,106.0,7.0,4.0,20.0,3.0,2.0,17.0,10.0,43.0,1.0,394.0
happy,27.0,16.0,17.0,54.0,5.0,4.0,4.0,39.0,44.0,9.0,134.0,25.0,2.0,10.0,390.0
without,32.0,24.0,34.0,124.0,7.0,10.0,9.0,31.0,10.0,3.0,36.0,43.0,5.0,20.0,388.0
call,59.0,38.0,47.0,48.0,30.0,16.0,10.0,30.0,24.0,8.0,43.0,19.0,4.0,12.0,388.0
last,16.0,19.0,42.0,101.0,26.0,15.0,14.0,41.0,31.0,2.0,29.0,35.0,0.0,16.0,387.0
end,57.0,50.0,27.0,101.0,10.0,8.0,10.0,26.0,22.0,2.0,25.0,24.0,8.0,9.0,379.0
big,48.0,9.0,24.0,36.0,93.0,24.0,32.0,17.0,17.0,4.0,25.0,20.0,10.0,18.0,377.0
wrong,29.0,25.0,49.0,88.0,12.0,15.0,26.0,21.0,36.0,9.0,24.0,24.0,0.0,18.0,376.0
stand,23.0,23.0,51.0,93.0,66.0,13.0,22.0,9.0,7.0,10.0,30.0,9.0,11.0,7.0,374.0
run,16.0,48.0,38.0,104.0,28.0,25.0,30.0,7.0,24.0,4.0,16.0,13.0,13.0,3.0,369.0
boy,46.0,3.0,9.0,74.0,32.0,11.0,20.0,15.0,49.0,34.0,32.0,32.0,0.0,11.0,368.0
feeling,51.0,19.0,43.0,72.0,9.0,13.0,4.0,60.0,18.0,13.0,29.0,28.0,3.0,5.0,367.0
head,58.0,43.0,26.0,70.0,38.0,14.0,12.0,13.0,26.0,7.0,23.0,22.0,2.0,9.0,363.0
alive,34.0,13.0,3.0,122.0,36.0,9.0,5.0,12.0,55.0,13.0,11.0,5.0,29.0,10.0,357.0
lost,29.0,46.0,28.0,115.0,11.0,20.0,27.0,18.0,17.0,0.0,14.0,24.0,0.0,7.0,356.0
dance,17.0,5.0,15.0,33.0,7.0,22.0,8.0,53.0,47.0,2.0,110.0,12.0,18.0,4.0,353.0
comes,20.0,21.0,61.0,52.0,21.0,18.0,14.0,17.0,27.0,3.0,50.0,30.0,6.0,11.0,351.0
nobody,35.0,31.0,33.0,86.0,25.0,6.0,13.0,11.0,12.0,8.0,28.0,8.0,51.0,2.0,349.0
break,35.0,10.0,64.0,131.0,12.0,4.0,6.0,12.0,14.0,0.0,13.0,9.0,14.0,23.0,347.0
walk,8.0,21.0,42.0,92.0,32.0,11.0,7.0,12.0,37.0,2.0,37.0,17.0,12.0,13.0,343.0
remember,16.0,15.0,42.0,68.0,2.0,17.0,13.0,16.0,63.0,16.0,34.0,27.0,0.0,14.0,343.0
fun,15.0,3.0,9.0,10.0,53.0,3.0,8.0,19.0,79.0,73.0,16.0,23.0,32.0,0.0,343.0
enough,35.0,19.0,34.0,78.0,11.0,8.0,13.0,17.0,12.0,5.0,58.0,40.0,1.0,12.0,343.0
sing,12.0,8.0,13.0,46.0,8.0,13.0,10.0,68.0,4.0,6.0,61.0,63.0,12.0,18.0,342.0
forever,49.0,37.0,13.0,142.0,3.0,3.0,9.0,8.0,11.0,0.0,31.0,19.0,0.0,16.0,341.0
high,15.0,11.0,17.0,61.0,103.0,23.0,9.0,15.0,40.0,3.0,20.0,11.0,6.0,5.0,339.0
fall,25.0,24.0,31.0,103.0,16.0,9.0,16.0,11.0,6.0,0.0,18.0,54.0,1.0,20.0,334.0
care,42.0,10.0,36.0,49.0,20.0,12.0,7.0,23.0,45.0,13.0,38.0,29.0,3.0,4.0,331.0
everybody,55.0,17.0,28.0,56.0,12.0,20.0,23.0,14.0,42.0,8.0,35.0,9.0,11.0,1.0,331.0
town,26.0,3.0,40.0,63.0,42.0,32.0,42.0,11.0,16.0,2.0,32.0,16.0,4.0,1.0,330.0
ya,4.0,13.0,4.0,26.0,38.0,6.0,22.0,28.0,11.0,15.0,131.0,7.0,14.0,5.0,324.0
morning,20.0,11.0,58.0,95.0,10.0,14.0,5.0,27.0,8.0,0.0,26.0,30.0,10.0,9.0,323.0
song,14.0,12.0,21.0,66.0,3.0,13.0,6.0,38.0,7.0,18.0,26.0,74.0,5.0,18.0,321.0
name,21.0,41.0,24.0,69.0,30.0,10.0,19.0,13.0,12.0,12.0,41.0,18.0,2.0,7.0,319.0
god,53.0,67.0,21.0,47.0,2.0,9.0,5.0,10.0,1.0,56.0,7.0,15.0,6.0,16.0,315.0
waiting,31.0,21.0,37.0,59.0,23.0,32.0,11.0,40.0,1.0,10.0,18.0,24.0,2.0,5.0,314.0
fool,70.0,24.0,50.0,66.0,15.0,6.0,3.0,10.0,3.0,6.0,22.0,22.0,3.0,14.0,314.0
till,31.0,27.0,24.0,92.0,19.0,12.0,14.0,45.0,6.0,2.0,19.0,10.0,1.0,12.0,314.0
alright,29.0,25.0,49.0,32.0,42.0,12.0,7.0,15.0,50.0,6.0,30.0,3.0,12.0,1.0,313.0
ready,29.0,8.0,2.0,28.0,91.0,8.0,10.0,1.0,26.0,7.0,70.0,0.0,33.0,0.0,313.0
two,33.0,8.0,16.0,68.0,28.0,10.0,9.0,24.0,23.0,14.0,41.0,24.0,4.0,11.0,313.0
free,46.0,51.0,12.0,52.0,17.0,8.0,29.0,26.0,9.0,4.0,27.0,16.0,9.0,5.0,311.0
listen,40.0,29.0,17.0,18.0,17.0,4.0,6.0,26.0,40.0,4.0,33.0,32.0,19.0,21.0,306.0
sky,18.0,44.0,41.0,74.0,32.0,16.0,7.0,12.0,4.0,0.0,24.0,16.0,4.0,11.0,303.0
far,28.0,19.0,17.0,121.0,10.0,15.0,19.0,15.0,8.0,2.0,17.0,20.0,6.0,5.0,302.0
money,33.0,11.0,15.0,38.0,83.0,13.0,30.0,40.0,13.0,10.0,13.0,1.0,0.0,2.0,302.0
tomorrow,22.0,36.0,25.0,103.0,3.0,14.0,2.0,10.0,45.0,0.0,15.0,19.0,0.0,6.0,300.0
may,21.0,19.0,18.0,102.0,18.0,11.0,3.0,15.0,8.0,2.0,43.0,34.0,1.0,5.0,300.0
chance,22.0,28.0,19.0,62.0,15.0,10.0,2.0,60.0,12.0,0.0,54.0,9.0,4.0,2.0,299.0
crazy,44.0,16.0,45.0,52.0,9.0,20.0,14.0,22.0,40.0,1.0,14.0,17.0,2.0,1.0,297.0
goes,31.0,25.0,34.0,70.0,31.0,8.0,11.0,19.0,33.0,2.0,10.0,14.0,6.0,3.0,297.0
many,21.0,25.0,43.0,87.0,10.0,11.0,13.0,6.0,6.0,13.0,11.0,32.0,4.0,15.0,297.0
ride,66.0,24.0,22.0,48.0,58.0,6.0,10.0,3.0,25.0,7.0,7.0,19.0,2.0,0.0,297.0
dreams,20.0,38.0,34.0,73.0,6.0,15.0,2.0,14.0,6.0,3.0,30.0,47.0,3.0,5.0,296.0
left,33.0,23.0,43.0,68.0,20.0,21.0,14.0,19.0,5.0,4.0,18.0,9.0,3.0,12.0,292.0
n,9.0,19.0,6.0,1.0,154.0,0.0,25.0,3.0,63.0,6.0,5.0,0.0,0.0,0.0,291.0
times,14.0,7.0,43.0,49.0,17.0,12.0,15.0,14.0,7.0,3.0,54.0,31.0,6.0,18.0,290.0
change,7.0,27.0,50.0,62.0,8.0,19.0,1.0,4.0,16.0,0.0,42.0,14.0,3.0,37.0,290.0
coming,29.0,24.0,38.0,30.0,32.0,15.0,19.0,14.0,20.0,11.0,36.0,11.0,3.0,7.0,289.0
found,17.0,18.0,18.0,73.0,14.0,14.0,10.0,17.0,10.0,5.0,52.0,25.0,3.0,11.0,287.0
shake,22.0,5.0,40.0,5.0,111.0,1.0,1.0,2.0,8.0,0.0,33.0,0.0,55.0,1.0,284.0
