palabra,The Beatles,The Rolling Stones,Beach Boys,The Who,The Doors,Led Zeppelin,Jimi Hendrix,Pink Floyd,Velvet Underground,Byrds,The Kinks,The Temptations,The Supremes,The Animals,The Yardbirds,total
rock,26.0,73.0,95.0,46.0,43.0,23.0,0.0,2.0,14.0,27.0,62.0,26.0,9.0,38.0,5.0,489.0
boy,62.0,48.0,49.0,81.0,8.0,4.0,10.0,16.0,10.0,5.0,37.0,10.0,113.0,25.0,11.0,489.0
light,25.0,58.0,63.0,24.0,32.0,42.0,8.0,34.0,32.0,18.0,67.0,33.0,34.0,11.0,7.0,488.0
another,44.0,46.0,36.0,31.0,14.0,15.0,7.0,37.0,9.0,40.0,105.0,38.0,22.0,31.0,12.0,487.0
blue,94.0,45.0,46.0,18.0,28.0,16.0,20.0,24.0,18.0,40.0,18.0,27.0,41.0,40.0,8.0,483.0
hand,50.0,79.0,51.0,27.0,12.0,20.0,19.0,18.0,10.0,23.0,71.0,41.0,46.0,11.0,5.0,483.0
last,39.0,52.0,56.0,35.0,11.0,10.0,12.0,15.0,16.0,35.0,81.0,30.0,24.0,52.0,10.0,478.0
roll,74.0,78.0,42.0,15.0,84.0,16.0,7.0,9.0,9.0,42.0,52.0,1.0,13.0,24.0,9.0,475.0
place,27.0,59.0,51.0,35.0,18.0,9.0,6.0,17.0,5.0,22.0,75.0,48.0,51.0,43.0,5.0,471.0
believe,43.0,53.0,62.0,18.0,14.0,14.0,8.0,5.0,17.0,26.0,77.0,42.0,45.0,38.0,7.0,469.0
something,66.0,61.0,50.0,35.0,12.0,13.0,15.0,25.0,8.0,15.0,63.0,42.0,45.0,14.0,5.0,469.0
bad,47.0,111.0,71.0,33.0,8.0,14.0,21.0,11.0,3.0,13.0,46.0,29.0,38.0,14.0,8.0,467.0
wrong,37.0,61.0,32.0,39.0,3.0,16.0,12.0,7.0,12.0,21.0,77.0,36.0,56.0,33.0,21.0,463.0
summer,9.0,24.0,287.0,5.0,35.0,9.0,10.0,11.0,5.0,14.0,27.0,11.0,4.0,2.0,10.0,463.0
walk,56.0,68.0,41.0,48.0,12.0,22.0,5.0,11.0,15.0,18.0,61.0,18.0,51.0,25.0,8.0,459.0
left,28.0,56.0,55.0,31.0,23.0,13.0,15.0,11.0,21.0,27.0,69.0,34.0,40.0,23.0,12.0,458.0
big,42.0,39.0,98.0,27.0,20.0,3.0,3.0,11.0,11.0,19.0,117.0,8.0,24.0,30.0,3.0,455.0
must,46.0,55.0,34.0,41.0,29.0,23.0,16.0,18.0,8.0,35.0,64.0,20.0,39.0,9.0,15.0,452.0
ya,26.0,95.0,37.0,29.0,20.0,23.0,21.0,9.0,0.0,3.0,54.0,49.0,65.0,8.0,9.0,448.0
song,37.0,49.0,106.0,52.0,13.0,11.0,8.0,8.0,10.0,20.0,24.0,21.0,71.0,6.0,5.0,441.0
call,50.0,74.0,26.0,32.0,7.0,13.0,15.0,8.0,19.0,25.0,49.0,51.0,38.0,12.0,22.0,441.0
turn,20.0,31.0,35.0,25.0,28.0,8.0,15.0,16.0,12.0,79.0,58.0,20.0,61.0,21.0,9.0,438.0
remember,50.0,24.0,119.0,25.0,14.0,4.0,13.0,14.0,3.0,8.0,56.0,67.0,18.0,12.0,5.0,432.0
dance,84.0,113.0,61.0,13.0,29.0,15.0,0.0,2.0,20.0,16.0,29.0,13.0,19.0,10.0,6.0,430.0
dream,52.0,34.0,51.0,26.0,25.0,12.0,18.0,33.0,6.0,8.0,71.0,28.0,36.0,13.0,16.0,429.0
music,25.0,31.0,120.0,73.0,19.0,3.0,7.0,7.0,10.0,10.0,53.0,3.0,25.0,14.0,29.0,429.0
honey,92.0,104.0,34.0,6.0,7.0,10.0,7.0,2.0,7.0,9.0,19.0,31.0,70.0,18.0,13.0,429.0
soul,25.0,46.0,44.0,40.0,15.0,17.0,18.0,15.0,4.0,27.0,36.0,67.0,25.0,40.0,8.0,427.0
two,50.0,66.0,51.0,45.0,38.0,4.0,12.0,33.0,18.0,15.0,38.0,15.0,21.0,15.0,5.0,426.0
inside,31.0,38.0,38.0,39.0,21.0,13.0,8.0,16.0,12.0,24.0,80.0,32.0,48.0,18.0,7.0,425.0
care,44.0,32.0,44.0,23.0,7.0,20.0,13.0,19.0,17.0,29.0,41.0,37.0,66.0,20.0,10.0,422.0
sing,49.0,59.0,64.0,52.0,8.0,22.0,22.0,10.0,1.0,16.0,35.0,15.0,42.0,12.0,13.0,420.0
till,45.0,47.0,19.0,18.0,23.0,17.0,24.0,7.0,2.0,16.0,80.0,50.0,46.0,20.0,4.0,418.0
name,52.0,91.0,20.0,23.0,15.0,12.0,12.0,12.0,9.0,27.0,38.0,29.0,38.0,16.0,22.0,416.0
road,35.0,43.0,21.0,21.0,17.0,10.0,3.0,11.0,0.0,23.0,76.0,5.0,7.0,138.0,5.0,415.0
