palabra,Nirvana,Pearl Jam,Red Hot Chili Peppers,Oasis,Radiohead,Green Day,R.E.M.,Foo Fighters,Beastie Boys,Nine Inch Nails,Blur,Weezer,No Doubt,Smashing Pumpkins,Soundgarden,total
might,7.0,24.0,46.0,56.0,16.0,17.0,38.0,11.0,29.0,11.0,15.0,35.0,19.0,27.0,31.0,382.0
hard,11.0,23.0,63.0,12.0,12.0,14.0,16.0,18.0,30.0,36.0,20.0,36.0,36.0,17.0,36.0,380.0
rain,0.0,31.0,31.0,28.0,28.0,70.0,30.0,42.0,6.0,8.0,2.0,27.0,0.0,40.0,35.0,378.0
blue,6.0,24.0,44.0,9.0,16.0,13.0,43.0,29.0,9.0,4.0,17.0,58.0,24.0,73.0,7.0,376.0
sleep,4.0,32.0,12.0,7.0,11.0,16.0,44.0,15.0,38.0,2.0,42.0,50.0,18.0,44.0,38.0,373.0
play,10.0,22.0,70.0,15.0,21.0,23.0,18.0,14.0,70.0,7.0,9.0,57.0,16.0,18.0,1.0,371.0
stand,2.0,38.0,26.0,27.0,17.0,57.0,43.0,16.0,21.0,7.0,5.0,46.0,7.0,35.0,17.0,364.0
best,4.0,16.0,51.0,12.0,29.0,39.0,26.0,56.0,37.0,1.0,12.0,58.0,6.0,9.0,6.0,362.0
must,16.0,21.0,82.0,12.0,22.0,20.0,14.0,17.0,25.0,4.0,16.0,19.0,26.0,56.0,10.0,360.0
boy,11.0,22.0,56.0,12.0,7.0,36.0,24.0,25.0,17.0,1.0,33.0,37.0,30.0,27.0,19.0,357.0
fire,9.0,10.0,58.0,24.0,9.0,43.0,44.0,20.0,29.0,16.0,5.0,20.0,15.0,36.0,19.0,357.0
days,1.0,43.0,27.0,25.0,5.0,46.0,13.0,49.0,15.0,4.0,39.0,34.0,13.0,21.0,21.0,356.0
yes,10.0,20.0,28.0,17.0,11.0,14.0,11.0,21.0,51.0,19.0,43.0,27.0,1.0,71.0,7.0,351.0
without,10.0,13.0,34.0,16.0,3.0,44.0,6.0,41.0,10.0,14.0,9.0,43.0,15.0,59.0,33.0,350.0
cold,25.0,19.0,34.0,31.0,13.0,18.0,20.0,36.0,31.0,5.0,15.0,37.0,5.0,33.0,25.0,347.0
sound,31.0,30.0,62.0,19.0,9.0,31.0,16.0,32.0,37.0,15.0,6.0,19.0,6.0,25.0,8.0,346.0
big,8.0,48.0,57.0,15.0,18.0,12.0,31.0,25.0,32.0,18.0,11.0,30.0,12.0,8.0,19.0,344.0
hope,12.0,16.0,9.0,44.0,15.0,39.0,19.0,37.0,18.0,10.0,7.0,33.0,34.0,32.0,14.0,339.0
today,4.0,38.0,34.0,39.0,10.0,32.0,42.0,10.0,9.0,3.0,43.0,17.0,22.0,18.0,18.0,339.0
fight,5.0,24.0,46.0,15.0,3.0,37.0,14.0,11.0,63.0,18.0,4.0,32.0,24.0,27.0,15.0,338.0
pain,21.0,26.0,37.0,10.0,10.0,42.0,7.0,18.0,7.0,24.0,10.0,62.0,17.0,37.0,9.0,337.0
black,18.0,39.0,44.0,6.0,7.0,19.0,4.0,40.0,19.0,27.0,7.0,12.0,1.0,18.0,72.0,333.0
maybe,12.0,15.0,21.0,45.0,8.0,39.0,38.0,26.0,8.0,35.0,2.0,31.0,12.0,30.0,7.0,329.0
goes,1.0,50.0,23.0,11.0,7.0,38.0,15.0,40.0,39.0,6.0,6.0,23.0,20.0,40.0,7.0,326.0
line,9.0,21.0,26.0,9.0,3.0,47.0,37.0,55.0,19.0,18.0,10.0,26.0,28.0,14.0,4.0,326.0
cry,13.0,19.0,49.0,34.0,7.0,22.0,27.0,14.0,2.0,5.0,2.0,34.0,3.0,33.0,60.0,324.0
happy,44.0,22.0,20.0,13.0,11.0,13.0,55.0,7.0,6.0,2.0,16.0,71.0,17.0,23.0,1.0,321.0
young,2.0,18.0,32.0,36.0,8.0,40.0,42.0,47.0,4.0,1.0,12.0,14.0,2.0,50.0,10.0,318.0
knows,2.0,15.0,63.0,51.0,6.0,13.0,29.0,12.0,15.0,4.0,9.0,14.0,13.0,65.0,6.0,317.0
behind,1.0,29.0,31.0,23.0,2.0,35.0,32.0,25.0,11.0,16.0,9.0,26.0,13.0,34.0,29.0,316.0
alright,0.0,23.0,23.0,28.0,6.0,58.0,4.0,25.0,22.0,12.0,19.0,26.0,6.0,51.0,13.0,316.0
help,20.0,53.0,11.0,32.0,10.0,8.0,9.0,23.0,16.0,28.0,9.0,39.0,16.0,33.0,4.0,311.0
ah,10.0,24.0,76.0,22.0,5.0,30.0,13.0,7.0,13.0,8.0,63.0,32.0,3.0,3.0,2.0,311.0
running,2.0,26.0,14.0,24.0,18.0,49.0,16.0,26.0,24.0,18.0,14.0,30.0,31.0,9.0,9.0,310.0
ride,14.0,17.0,64.0,15.0,5.0,36.0,30.0,19.0,27.0,0.0,6.0,29.0,13.0,25.0,9.0,309.0
side,15.0,41.0,47.0,18.0,9.0,14.0,11.0,20.0,9.0,19.0,8.0,35.0,14.0,34.0,15.0,309.0
true,11.0,20.0,40.0,5.0,3.0,23.0,9.0,31.0,28.0,16.0,6.0,61.0,8.0,45.0,1.0,307.0
wait,18.0,24.0,13.0,16.0,3.0,14.0,21.0,59.0,10.0,18.0,11.0,20.0,25.0,51.0,2.0,305.0
found,9.0,20.0,56.0,19.0,8.0,37.0,35.0,27.0,8.0,18.0,12.0,23.0,6.0,17.0,10.0,305.0
wake,6.0,8.0,15.0,32.0,16.0,24.0,52.0,42.0,7.0,17.0,13.0,26.0,11.0,34.0,1.0,304.0
living,17.0,34.0,24.0,35.0,17.0,41.0,32.0,16.0,17.0,7.0,5.0,28.0,6.0,19.0,5.0,303.0
along,11.0,22.0,46.0,36.0,7.0,12.0,35.0,24.0,11.0,13.0,5.0,24.0,4.0,45.0,8.0,303.0
words,11.0,31.0,15.0,21.0,17.0,18.0,19.0,23.0,15.0,7.0,9.0,52.0,7.0,26.0,31.0,302.0
friends,11.0,21.0,53.0,16.0,20.0,23.0,20.0,8.0,17.0,3.0,4.0,52.0,10.0,30.0,13.0,301.0
forever,10.0,10.0,24.0,29.0,6.0,31.0,16.0,38.0,1.0,5.0,22.0,19.0,8.0,74.0,7.0,300.0
makes,9.0,23.0,21.0,22.0,8.0,44.0,15.0,15.0,16.0,7.0,21.0,46.0,19.0,23.0,10.0,299.0
else,13.0,39.0,20.0,9.0,16.0,16.0,12.0,13.0,7.0,28.0,22.0,53.0,21.0,29.0,1.0,299.0
deep,3.0,30.0,43.0,7.0,3.0,10.0,20.0,29.0,10.0,42.0,6.0,48.0,20.0,16.0,11.0,298.0
done,5.0,27.0,21.0,13.0,5.0,11.0,27.0,57.0,18.0,22.0,37.0,21.0,5.0,23.0,3.0,295.0
low,23.0,15.0,33.0,1.0,5.0,32.0,50.0,36.0,10.0,3.0,57.0,13.0,4.0,10.0,1.0,293.0
save,9.0,16.0,28.0,5.0,8.0,9.0,13.0,63.0,2.0,28.0,4.0,21.0,22.0,29.0,35.0,292.0
hell,17.0,13.0,28.0,6.0,18.0,69.0,21.0,31.0,28.0,10.0,7.0,21.0,2.0,8.0,12.0,291.0
fuck,3.0,32.0,41.0,1.0,0.0,45.0,11.0,3.0,58.0,27.0,11.0,5.0,0.0,10.0,43.0,290.0
remember,2.0,15.0,38.0,14.0,8.0,27.0,40.0,35.0,5.0,40.0,10.0,21.0,7.0,6.0,21.0,289.0
seen,5.0,32.0,36.0,18.0,35.0,9.0,44.0,15.0,33.0,1.0,11.0,19.0,6.0,14.0,10.0,288.0
anything,16.0,22.0,31.0,2.0,4.0,9.0,39.0,26.0,3.0,27.0,13.0,39.0,10.0,24.0,21.0,286.0
em,5.0,45.0,71.0,15.0,6.0,6.0,7.0,3.0,51.0,0.0,5.0,20.0,38.0,7.0,6.0,285.0
times,4.0,6.0,22.0,15.0,14.0,44.0,36.0,33.0,23.0,10.0,14.0,28.0,16.0,14.0,6.0,285.0
together,5.0,13.0,14.0,15.0,4.0,11.0,12.0,5.0,30.0,6.0,25.0,79.0,16.0,13.0,36.0,284.0
lonely,4.0,8.0,65.0,36.0,8.0,24.0,4.0,32.0,4.0,5.0,6.0,49.0,2.0,35.0,2.0,284.0
sweet,0.0,6.0,44.0,6.0,9.0,19.0,36.0,27.0,10.0,8.0,10.0,45.0,27.0,25.0,10.0,282.0
many,8.0,5.0,22.0,18.0,6.0,10.0,12.0,3.0,28.0,10.0,20.0,31.0,38.0,56.0,15.0,282.0
dreams,0.0,26.0,12.0,31.0,1.0,30.0,31.0,15.0,8.0,8.0,7.0,35.0,13.0,45.0,19.0,281.0
town,14.0,18.0,40.0,26.0,21.0,55.0,24.0,11.0,25.0,0.0,16.0,16.0,0.0,12.0,1.0,279.0
knew,14.0,15.0,45.0,14.0,0.0,15.0,25.0,20.0,6.0,12.0,20.0,24.0,26.0,40.0,3.0,279.0
talk,11.0,25.0,23.0,20.0,14.0,13.0,54.0,33.0,26.0,0.0,12.0,17.0,18.0,9.0,4.0,279.0
hands,5.0,38.0,8.0,15.0,8.0,24.0,34.0,23.0,9.0,15.0,5.0,21.0,11.0,18.0,44.0,278.0
crazy,3.0,30.0,32.0,6.0,9.0,38.0,36.0,7.0,21.0,0.0,38.0,22.0,15.0,15.0,2.0,274.0
full,10.0,20.0,40.0,23.0,11.0,14.0,36.0,3.0,22.0,12.0,6.0,8.0,26.0,14.0,29.0,274.0
alive,2.0,28.0,16.0,30.0,31.0,21.0,23.0,30.0,4.0,5.0,6.0,11.0,4.0,41.0,21.0,273.0
city,3.0,9.0,43.0,15.0,14.0,71.0,23.0,9.0,29.0,0.0,13.0,14.0,3.0,16.0,11.0,273.0
chorus,0.0,0.0,14.0,0.0,0.0,6.0,104.0,10.0,59.0,11.0,4.0,20.0,35.0,0.0,7.0,270.0
lie,18.0,17.0,22.0,7.0,15.0,30.0,6.0,22.0,6.0,31.0,3.0,13.0,10.0,53.0,16.0,269.0
mean,10.0,16.0,11.0,27.0,13.0,10.0,28.0,23.0,24.0,6.0,16.0,32.0,19.0,13.0,19.0,267.0
blood,4.0,43.0,59.0,2.0,6.0,38.0,14.0,24.0,5.0,13.0,5.0,10.0,1.0,19.0,24.0,267.0
roll,8.0,38.0,26.0,32.0,24.0,51.0,10.0,7.0,12.0,0.0,8.0,17.0,7.0,19.0,7.0,266.0
sometimes,2.0,41.0,11.0,10.0,9.0,59.0,14.0,12.0,11.0,18.0,14.0,40.0,13.0,3.0,6.0,263.0
room,33.0,23.0,22.0,10.0,4.0,28.0,43.0,17.0,19.0,2.0,12.0,14.0,10.0,18.0,8.0,263.0
told,9.0,17.0,56.0,12.0,5.0,18.0,22.0,16.0,8.0,9.0,18.0,42.0,2.0,17.0,11.0,262.0
start,5.0,7.0,33.0,13.0,8.0,16.0,19.0,16.0,33.0,18.0,16.0,31.0,12.0,13.0,21.0,261.0
lose,10.0,23.0,32.0,10.0,5.0,31.0,9.0,31.0,16.0,9.0,13.0,20.0,2.0,45.0,4.0,260.0
beat,51.0,4.0,30.0,12.0,2.0,14.0,20.0,23.0,42.0,5.0,27.0,16.0,6.0,4.0,4.0,260.0
came,7.0,24.0,33.0,20.0,11.0,8.0,32.0,26.0,11.0,29.0,9.0,34.0,7.0,7.0,2.0,260.0
used,4.0,40.0,33.0,3.0,12.0,24.0,9.0,7.0,13.0,37.0,4.0,30.0,10.0,30.0,1.0,257.0
bring,4.0,19.0,19.0,14.0,3.0,11.0,15.0,14.0,26.0,0.0,11.0,25.0,7.0,79.0,9.0,256.0
