palabra,Arctic Monkeys,Imagine Dragons,Adele,Twenty One Pilots,Ed Sheeran,Mumford & Sons,The Black Keys,Tame Impala,Florence And The Machine,Kendrick Lamar,Lorde,Bruno Mars,Drake,The Weeknd,Lady Gaga,total
cry,4.0,34.0,20.0,13.0,36.0,20.0,9.0,9.0,39.0,17.0,4.0,7.0,56.0,72.0,141.0,481.0
nobody,3.0,28.0,13.0,20.0,39.0,2.0,29.0,9.0,4.0,44.0,1.0,23.0,106.0,123.0,35.0,479.0
someone,7.0,13.0,10.0,62.0,44.0,13.0,8.0,16.0,25.0,16.0,9.0,14.0,144.0,52.0,42.0,475.0
lie,10.0,28.0,8.0,6.0,39.0,17.0,5.0,4.0,16.0,66.0,2.0,3.0,101.0,159.0,10.0,474.0
touch,3.0,34.0,2.0,5.0,58.0,3.0,6.0,5.0,22.0,34.0,11.0,20.0,52.0,115.0,104.0,474.0
game,11.0,6.0,8.0,6.0,52.0,1.0,11.0,1.0,2.0,65.0,8.0,12.0,156.0,47.0,85.0,471.0
wish,12.0,46.0,35.0,39.0,66.0,6.0,4.0,2.0,21.0,13.0,12.0,26.0,91.0,9.0,87.0,469.0
looking,26.0,47.0,12.0,1.0,36.0,6.0,4.0,4.0,20.0,42.0,5.0,55.0,107.0,37.0,67.0,469.0
came,19.0,17.0,5.0,0.0,63.0,24.0,7.0,8.0,31.0,77.0,3.0,11.0,143.0,30.0,27.0,465.0
though,29.0,4.0,14.0,22.0,51.0,26.0,6.0,7.0,18.0,31.0,3.0,11.0,139.0,82.0,20.0,463.0
lost,13.0,40.0,13.0,17.0,60.0,38.0,11.0,9.0,28.0,49.0,7.0,26.0,65.0,46.0,40.0,462.0
end,18.0,35.0,13.0,14.0,66.0,16.0,20.0,24.0,9.0,18.0,4.0,29.0,112.0,48.0,35.0,461.0
top,5.0,31.0,6.0,1.0,24.0,3.0,2.0,1.0,1.0,80.0,2.0,19.0,175.0,66.0,41.0,457.0
days,16.0,36.0,6.0,41.0,30.0,16.0,27.0,10.0,24.0,30.0,11.0,15.0,154.0,21.0,20.0,457.0
remember,15.0,15.0,18.0,14.0,54.0,6.0,5.0,22.0,16.0,52.0,16.0,15.0,113.0,42.0,43.0,446.0
ima,0.0,14.0,0.0,7.0,8.0,0.0,2.0,0.0,0.0,94.0,1.0,23.0,166.0,116.0,14.0,445.0
care,10.0,11.0,14.0,33.0,50.0,2.0,12.0,23.0,23.0,37.0,15.0,15.0,101.0,49.0,48.0,443.0
till,0.0,29.0,5.0,2.0,79.0,9.0,32.0,12.0,22.0,34.0,13.0,13.0,82.0,55.0,51.0,438.0
nah,0.0,0.0,0.0,8.0,37.0,0.0,36.0,0.0,0.0,51.0,5.0,3.0,99.0,199.0,0.0,438.0
best,13.0,16.0,13.0,9.0,43.0,3.0,6.0,1.0,15.0,40.0,26.0,12.0,118.0,84.0,38.0,437.0
side,17.0,24.0,8.0,12.0,56.0,5.0,13.0,8.0,20.0,22.0,13.0,23.0,119.0,86.0,11.0,437.0
sleep,11.0,16.0,2.0,51.0,54.0,30.0,14.0,7.0,23.0,32.0,1.0,15.0,62.0,103.0,14.0,435.0
drake,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,412.0,12.0,0.0,435.0
babe,5.0,0.0,0.0,0.0,19.0,8.0,28.0,8.0,0.0,2.0,10.0,12.0,38.0,209.0,91.0,430.0
mean,12.0,13.0,5.0,19.0,32.0,7.0,18.0,7.0,0.0,60.0,6.0,15.0,161.0,40.0,34.0,429.0
alright,19.0,27.0,2.0,60.0,38.0,12.0,17.0,9.0,15.0,66.0,12.0,38.0,50.0,9.0,55.0,429.0
soul,13.0,26.0,9.0,73.0,65.0,29.0,27.0,7.0,13.0,49.0,1.0,4.0,39.0,43.0,30.0,428.0
old,14.0,21.0,7.0,41.0,54.0,8.0,21.0,14.0,21.0,32.0,14.0,28.0,98.0,24.0,30.0,427.0
song,5.0,9.0,6.0,34.0,75.0,10.0,6.0,9.0,36.0,43.0,9.0,2.0,94.0,35.0,54.0,427.0
heard,12.0,6.0,10.0,42.0,37.0,6.0,15.0,4.0,8.0,49.0,5.0,8.0,119.0,37.0,67.0,425.0
fire,10.0,45.0,12.0,36.0,71.0,13.0,20.0,1.0,33.0,37.0,8.0,50.0,36.0,23.0,28.0,423.0
rain,4.0,22.0,17.0,11.0,90.0,15.0,12.0,1.0,12.0,11.0,2.0,17.0,26.0,27.0,151.0,418.0
else,4.0,20.0,14.0,46.0,41.0,16.0,8.0,19.0,13.0,17.0,7.0,21.0,112.0,44.0,33.0,415.0
far,11.0,38.0,12.0,30.0,32.0,12.0,10.0,22.0,48.0,30.0,6.0,24.0,78.0,25.0,35.0,413.0
somebody,16.0,15.0,8.0,23.0,32.0,1.0,4.0,8.0,5.0,71.0,4.0,21.0,114.0,75.0,15.0,412.0
help,9.0,14.0,17.0,71.0,64.0,22.0,2.0,2.0,16.0,41.0,7.0,13.0,73.0,24.0,32.0,407.0
