palabra,categoria,total_1960,total_1970,total_1980,total_1990,total_2000,total_2010,total_2020
wall,NOUN,160.0,141.0,246.0,135.0,269.0,113.0,131.0
river,NOUN,157.0,61.0,191.0,132.0,247.0,121.0,73.0
low,ADJ,157.0,88.0,206.0,293.0,445.0,375.0,185.0
alive,ADJ,155.0,357.0,605.0,273.0,398.0,312.0,221.0
past,NOUN,153.0,125.0,291.0,151.0,304.0,271.0,157.0
nice,ADJ,153.0,134.0,240.0,145.0,304.0,170.0,229.0
floor,NOUN,153.0,101.0,392.0,163.0,509.0,241.0,169.0
mad,ADJ,152.0,83.0,240.0,100.0,520.0,165.0,346.0
warm,ADJ,151.0,123.0,140.0,110.0,93.0,66.0,71.0
earth,NOUN,151.0,171.0,280.0,136.0,160.0,101.0,55.0
body,NOUN,151.0,282.0,1064.0,234.0,965.0,736.0,491.0
ring,NOUN,151.0,183.0,272.0,91.0,317.0,154.0,128.0
dark,ADJ,150.0,211.0,404.0,144.0,308.0,387.0,238.0
nothin,NOUN,148.0,206.0,213.0,97.0,549.0,305.0,204.0
shoes,NOUN,147.0,84.0,146.0,67.0,264.0,109.0,104.0
blood,NOUN,147.0,157.0,394.0,267.0,491.0,279.0,164.0
gold,NOUN,146.0,68.0,288.0,110.0,340.0,216.0,168.0
window,NOUN,145.0,76.0,203.0,71.0,168.0,108.0,112.0
sister,NOUN,144.0,25.0,165.0,109.0,92.0,66.0,27.0
memories,NOUN,144.0,82.0,91.0,54.0,145.0,76.0,64.0
son,NOUN,144.0,92.0,212.0,227.0,385.0,160.0,169.0
tear,NOUN,143.0,83.0,179.0,95.0,193.0,122.0,44.0
lights,NOUN,142.0,135.0,476.0,166.0,534.0,391.0,366.0
wife,NOUN,140.0,38.0,87.0,49.0,148.0,60.0,47.0
voice,NOUN,139.0,102.0,408.0,124.0,199.0,138.0,61.0
school,NOUN,139.0,87.0,149.0,86.0,362.0,141.0,98.0
joy,NOUN,138.0,201.0,296.0,56.0,69.0,55.0,18.0
reason,NOUN,137.0,172.0,544.0,167.0,366.0,222.0,136.0
brother,NOUN,135.0,89.0,281.0,108.0,242.0,172.0,27.0
rest,NOUN,133.0,74.0,171.0,199.0,279.0,163.0,122.0
kids,NOUN,133.0,66.0,90.0,176.0,426.0,160.0,97.0
miles,NOUN,131.0,66.0,283.0,97.0,85.0,79.0,67.0
party,NOUN,130.0,153.0,713.0,217.0,573.0,286.0,443.0
year,NOUN,129.0,134.0,169.0,141.0,275.0,257.0,146.0
band,NOUN,129.0,76.0,122.0,125.0,84.0,48.0,45.0
blind,ADJ,129.0,118.0,291.0,121.0,152.0,142.0,99.0
wings,NOUN,129.0,58.0,90.0,71.0,112.0,69.0,28.0
funny,ADJ,128.0,103.0,102.0,101.0,212.0,139.0,89.0
sight,NOUN,126.0,93.0,122.0,107.0,146.0,73.0,61.0
mess,NOUN,126.0,33.0,149.0,104.0,166.0,125.0,133.0
slow,ADJ,125.0,106.0,288.0,165.0,448.0,291.0,172.0
magic,NOUN,125.0,144.0,147.0,99.0,153.0,89.0,86.0
dog,NOUN,124.0,147.0,171.0,151.0,257.0,153.0,75.0
mountain,NOUN,123.0,57.0,112.0,47.0,73.0,49.0,36.0
tree,NOUN,123.0,70.0,145.0,91.0,110.0,74.0,59.0
afraid,ADJ,123.0,132.0,303.0,195.0,207.0,135.0,117.0
women,NOUN,123.0,111.0,64.0,36.0,175.0,207.0,62.0
shame,NOUN,122.0,80.0,150.0,246.0,148.0,100.0,66.0
lookin,NOUN,121.0,102.0,191.0,61.0,446.0,249.0,230.0
