palabra,Billie Eilish,Halsey,Harry Styles,Lana Del Rey,Dua Lipa,Post Malone,Megan Thee Stallion,HAIM,Taylor Swift,Bad Bunny,Ariana Grande,Travis Scott,Doja Cat,Blackpink,total
gone,14.0,19.0,16.0,78.0,31.0,54.0,22.0,41.0,104.0,0.0,47.0,21.0,12.0,3.0,462.0
name,9.0,24.0,10.0,46.0,45.0,28.0,44.0,10.0,133.0,1.0,54.0,18.0,35.0,3.0,460.0
touch,4.0,21.0,8.0,42.0,56.0,14.0,19.0,4.0,72.0,0.0,85.0,12.0,87.0,34.0,458.0
believe,10.0,32.0,6.0,40.0,67.0,15.0,9.0,4.0,94.0,2.0,105.0,21.0,34.0,18.0,457.0
turn,3.0,15.0,9.0,76.0,43.0,27.0,26.0,26.0,80.0,0.0,72.0,45.0,26.0,6.0,454.0
babe,4.0,0.0,18.0,120.0,17.0,5.0,3.0,16.0,84.0,0.0,131.0,9.0,40.0,4.0,451.0
enough,14.0,19.0,30.0,42.0,43.0,54.0,15.0,35.0,92.0,1.0,55.0,23.0,11.0,16.0,450.0
okay,35.0,8.0,10.0,16.0,17.0,21.0,69.0,16.0,41.0,22.0,21.0,97.0,74.0,2.0,449.0
esta,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,422.0,18.0,0.0,1.0,0.0,444.0
party,8.0,2.0,4.0,138.0,16.0,34.0,12.0,1.0,32.0,112.0,21.0,39.0,15.0,9.0,443.0
two,7.0,17.0,33.0,74.0,20.0,31.0,27.0,8.0,58.0,0.0,19.0,95.0,34.0,18.0,441.0
feeling,6.0,28.0,17.0,67.0,65.0,23.0,2.0,20.0,70.0,1.0,83.0,23.0,32.0,3.0,440.0
live,11.0,53.0,3.0,83.0,32.0,19.0,20.0,2.0,106.0,1.0,32.0,46.0,24.0,7.0,439.0
used,11.0,32.0,18.0,74.0,46.0,34.0,14.0,16.0,96.0,0.0,54.0,26.0,13.0,3.0,437.0
lost,8.0,27.0,14.0,79.0,49.0,55.0,2.0,15.0,106.0,0.0,22.0,35.0,20.0,0.0,432.0
friends,17.0,11.0,10.0,50.0,13.0,36.0,54.0,4.0,125.0,0.0,34.0,55.0,21.0,0.0,430.0
another,21.0,29.0,4.0,53.0,32.0,54.0,20.0,25.0,87.0,0.0,47.0,30.0,18.0,10.0,430.0
yes,5.0,3.0,1.0,179.0,15.0,9.0,16.0,1.0,53.0,11.0,108.0,6.0,19.0,3.0,429.0
